university,post_text,date,likes,retweets,user_id,sentiment_label
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-26,315,32,user_83191,positive
Lawrence Technological University,Capstone projects are very practical.,2024-01-06,618,144,user_65107,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-02,365,66,user_40000,positive
Lawrence Technological University,Professors give strong career guidance.,2024-09-07,257,121,user_57064,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-22,302,85,user_25866,positive
Lawrence Technological University,Small classes make learning personal.,2024-02-12,378,128,user_95805,positive
Lawrence Technological University,Administrative delays in registration.,2024-08-17,100,182,user_22310,negative
Lawrence Technological University,Some classrooms need renovation.,2024-07-20,272,202,user_55767,negative
Lawrence Technological University,Administrative delays in registration.,2024-04-04,280,239,user_14321,negative
Lawrence Technological University,Career fair next month.,2024-06-10,226,58,user_51915,neutral
Lawrence Technological University,Industry networking events are valuable.,2024-04-25,236,140,user_37261,positive
Lawrence Technological University,Professors give strong career guidance.,2024-10-12,491,99,user_31320,positive
Lawrence Technological University,Professors give strong career guidance.,2024-06-18,541,134,user_45346,positive
Lawrence Technological University,Industry networking events are valuable.,2024-02-10,406,139,user_90035,positive
Lawrence Technological University,Library timing revised.,2024-10-16,368,53,user_40559,neutral
Lawrence Technological University,Course catalog updated.,2024-12-22,340,133,user_98746,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-04-30,447,80,user_64688,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-10-25,277,36,user_58267,neutral
Lawrence Technological University,Small classes make learning personal.,2024-03-27,391,52,user_49886,positive
Lawrence Technological University,Small classes make learning personal.,2024-08-20,473,79,user_35714,positive
Lawrence Technological University,Capstone projects are very practical.,2024-10-31,401,99,user_35140,positive
Lawrence Technological University,Limited campus events this semester.,2024-04-02,398,152,user_15179,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-26,334,41,user_70533,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-11,603,32,user_96123,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-07-31,431,80,user_50220,positive
Lawrence Technological University,Small classes make learning personal.,2024-10-24,373,122,user_90672,positive
Lawrence Technological University,Professors give strong career guidance.,2024-08-09,632,60,user_28836,positive
Lawrence Technological University,Industry networking events are valuable.,2024-12-10,611,57,user_87010,positive
Lawrence Technological University,Course catalog updated.,2024-03-22,351,63,user_40460,neutral
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-18,513,65,user_12137,positive
Lawrence Technological University,Professors give strong career guidance.,2024-04-28,481,130,user_20223,positive
Lawrence Technological University,Career fair next month.,2024-10-14,232,88,user_40942,neutral
Lawrence Technological University,Some classrooms need renovation.,2024-04-14,84,145,user_77231,negative
Lawrence Technological University,Professors give strong career guidance.,2024-02-06,356,139,user_76159,positive
Lawrence Technological University,Capstone projects are very practical.,2024-06-07,392,135,user_13198,positive
Lawrence Technological University,Industry networking events are valuable.,2024-03-06,482,139,user_25250,positive
Lawrence Technological University,Professors give strong career guidance.,2024-06-28,429,51,user_56977,positive
Lawrence Technological University,Limited campus events this semester.,2024-05-16,373,106,user_11204,negative
Lawrence Technological University,Industry networking events are valuable.,2024-07-10,509,134,user_29736,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-28,534,72,user_69390,positive
Lawrence Technological University,Semester calendar released.,2024-05-04,299,115,user_59492,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-07-06,557,130,user_95499,positive
Lawrence Technological University,Small classes make learning personal.,2024-08-31,334,78,user_88521,positive
Lawrence Technological University,Capstone projects are very practical.,2024-06-13,267,139,user_69524,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-05-01,91,153,user_45502,negative
Lawrence Technological University,Small classes make learning personal.,2024-12-08,396,81,user_26422,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-24,474,141,user_60026,positive
Lawrence Technological University,Industry networking events are valuable.,2024-12-21,308,39,user_67430,positive
Lawrence Technological University,Limited campus events this semester.,2024-02-17,267,165,user_46407,negative
Lawrence Technological University,Administrative delays in registration.,2024-10-05,326,87,user_41348,negative
Lawrence Technological University,Administrative delays in registration.,2024-04-27,100,181,user_35299,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-07,563,149,user_80454,positive
Lawrence Technological University,Industry networking events are valuable.,2024-11-22,378,103,user_92284,positive
Lawrence Technological University,Capstone projects are very practical.,2024-11-14,297,69,user_96990,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-16,453,91,user_47609,positive
Lawrence Technological University,Professors give strong career guidance.,2024-06-13,283,83,user_20091,positive
Lawrence Technological University,Tuition cost feels high.,2024-07-05,134,189,user_12710,negative
Lawrence Technological University,Capstone projects are very practical.,2024-01-22,684,120,user_54440,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-21,444,97,user_63994,positive
Lawrence Technological University,Capstone projects are very practical.,2024-11-16,488,71,user_53328,positive
Lawrence Technological University,Professors give strong career guidance.,2024-10-25,404,144,user_76760,positive
Lawrence Technological University,Small classes make learning personal.,2024-08-22,599,36,user_27416,positive
Lawrence Technological University,Professors give strong career guidance.,2024-01-26,538,120,user_74620,positive
Lawrence Technological University,Small classes make learning personal.,2024-06-17,358,73,user_39921,positive
Lawrence Technological University,Capstone projects are very practical.,2024-03-06,425,83,user_27930,positive
Lawrence Technological University,Some classrooms need renovation.,2024-07-14,273,118,user_18368,negative
Lawrence Technological University,Semester calendar released.,2024-12-27,196,60,user_42357,neutral
Lawrence Technological University,Professors give strong career guidance.,2024-06-23,524,72,user_61333,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-02,516,117,user_33740,positive
Lawrence Technological University,Library timing revised.,2024-03-30,247,77,user_56893,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-10-25,393,67,user_67334,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-26,193,147,user_91913,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-07-24,112,202,user_22505,negative
Lawrence Technological University,Small classes make learning personal.,2024-05-10,495,68,user_42283,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-05,561,75,user_53198,positive
Lawrence Technological University,Small classes make learning personal.,2024-09-11,454,80,user_65420,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-12-03,332,56,user_86599,positive
Lawrence Technological University,Capstone projects are very practical.,2024-03-12,369,77,user_31504,positive
Lawrence Technological University,Industry networking events are valuable.,2024-11-15,397,44,user_40800,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-09,426,49,user_77383,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-02-02,223,188,user_97880,negative
Lawrence Technological University,Capstone projects are very practical.,2024-07-21,390,114,user_71085,positive
Lawrence Technological University,Tuition cost feels high.,2024-10-11,303,198,user_19678,negative
Lawrence Technological University,Orientation scheduled for Monday.,2024-02-25,131,141,user_61216,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-01-06,549,72,user_30009,positive
Lawrence Technological University,Capstone projects are very practical.,2024-03-24,564,97,user_18253,positive
Lawrence Technological University,Administrative delays in registration.,2024-01-10,126,204,user_20122,negative
Lawrence Technological University,Professors give strong career guidance.,2024-06-22,360,52,user_97686,positive
Lawrence Technological University,Capstone projects are very practical.,2024-10-01,620,99,user_83579,positive
Lawrence Technological University,Administrative delays in registration.,2024-11-19,374,164,user_36011,negative
Lawrence Technological University,Library timing revised.,2024-06-10,116,43,user_71760,neutral
Lawrence Technological University,Tuition cost feels high.,2024-08-16,282,219,user_61022,negative
Lawrence Technological University,Capstone projects are very practical.,2024-09-30,508,24,user_79166,positive
Lawrence Technological University,Small classes make learning personal.,2024-03-12,460,129,user_97966,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-05-20,151,143,user_22994,negative
Lawrence Technological University,Capstone projects are very practical.,2024-05-24,432,55,user_99992,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-05-06,604,33,user_61555,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-05-14,412,95,user_97834,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-06,460,75,user_32080,positive
Lawrence Technological University,Industry networking events are valuable.,2024-03-08,412,67,user_20606,positive
Lawrence Technological University,Small classes make learning personal.,2024-08-02,410,60,user_48005,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-04-23,346,95,user_49244,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-04-30,306,77,user_10015,neutral
Lawrence Technological University,Limited campus events this semester.,2024-05-30,152,273,user_97415,negative
Lawrence Technological University,Semester calendar released.,2024-02-02,179,137,user_32064,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-03-16,287,57,user_82559,positive
Lawrence Technological University,Some classrooms need renovation.,2024-09-22,83,96,user_41746,negative
Lawrence Technological University,Professors give strong career guidance.,2024-12-08,495,111,user_65269,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-01-13,389,162,user_93225,negative
Lawrence Technological University,Industry networking events are valuable.,2024-09-15,612,24,user_33822,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-01,466,55,user_89943,positive
Lawrence Technological University,Capstone projects are very practical.,2024-08-23,352,56,user_39586,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-12-25,184,250,user_13013,negative
Lawrence Technological University,Professors give strong career guidance.,2024-12-04,601,142,user_39071,positive
Lawrence Technological University,Professors give strong career guidance.,2024-03-02,558,116,user_23601,positive
Lawrence Technological University,Small classes make learning personal.,2024-01-23,336,71,user_43800,positive
Lawrence Technological University,Small classes make learning personal.,2024-10-26,311,21,user_83309,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-01-08,451,120,user_95185,positive
Lawrence Technological University,Industry networking events are valuable.,2024-10-18,534,139,user_74804,positive
Lawrence Technological University,Small classes make learning personal.,2024-02-17,493,42,user_37123,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-12-25,82,196,user_89548,negative
Lawrence Technological University,Limited campus events this semester.,2024-04-23,381,211,user_31263,negative
Lawrence Technological University,Small classes make learning personal.,2024-09-23,501,30,user_47656,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-11-30,303,35,user_21174,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-10-04,191,149,user_76595,negative
Lawrence Technological University,Professors give strong career guidance.,2024-09-22,274,52,user_44761,positive
Lawrence Technological University,Some classrooms need renovation.,2024-07-31,219,187,user_34958,negative
Lawrence Technological University,Tuition cost feels high.,2024-10-22,314,206,user_12534,negative
Lawrence Technological University,Industry networking events are valuable.,2024-07-31,509,147,user_54317,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-04-11,461,111,user_52375,positive
Lawrence Technological University,Limited campus events this semester.,2024-11-02,103,180,user_98211,negative
Lawrence Technological University,Capstone projects are very practical.,2024-04-01,395,85,user_77150,positive
Lawrence Technological University,Course catalog updated.,2024-08-29,226,77,user_52402,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-06-27,591,111,user_74742,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-27,592,45,user_82678,positive
Lawrence Technological University,Industry networking events are valuable.,2024-09-09,288,90,user_25441,positive
Lawrence Technological University,Professors give strong career guidance.,2024-07-01,433,112,user_18961,positive
Lawrence Technological University,Small classes make learning personal.,2024-07-01,247,131,user_97306,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-12-27,284,81,user_38018,positive
Lawrence Technological University,Small classes make learning personal.,2024-01-24,381,60,user_25580,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-02,397,142,user_55215,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-03-12,531,80,user_26209,positive
Lawrence Technological University,Semester calendar released.,2024-02-03,354,37,user_12322,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-02-15,532,59,user_67554,positive
Lawrence Technological University,Library timing revised.,2024-08-20,107,33,user_39936,neutral
Lawrence Technological University,Small classes make learning personal.,2024-01-10,432,68,user_77814,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-05-31,387,33,user_62533,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-08-23,450,99,user_27389,positive
Lawrence Technological University,Small classes make learning personal.,2024-02-26,575,128,user_75770,positive
Lawrence Technological University,Industry networking events are valuable.,2024-06-29,274,110,user_93960,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-12,555,89,user_58787,positive
Lawrence Technological University,Professors give strong career guidance.,2024-10-16,225,107,user_34149,positive
Lawrence Technological University,Professors give strong career guidance.,2024-08-18,525,92,user_58704,positive
Lawrence Technological University,Some classrooms need renovation.,2024-09-04,195,233,user_96459,negative
Lawrence Technological University,Industry networking events are valuable.,2024-06-10,497,71,user_19960,positive
Lawrence Technological University,Some classrooms need renovation.,2024-06-23,374,271,user_14935,negative
Lawrence Technological University,Small classes make learning personal.,2024-08-17,350,35,user_69374,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-07-22,527,54,user_34138,positive
Lawrence Technological University,Tuition cost feels high.,2024-12-03,157,134,user_53355,negative
Lawrence Technological University,Small classes make learning personal.,2024-11-08,620,117,user_50507,positive
Lawrence Technological University,Some classrooms need renovation.,2024-02-13,229,153,user_59200,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-19,400,77,user_70809,positive
Lawrence Technological University,Some classrooms need renovation.,2024-04-28,113,205,user_25423,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-12-16,438,107,user_83453,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-01,583,106,user_91836,positive
Lawrence Technological University,Capstone projects are very practical.,2024-02-05,264,128,user_16523,positive
Lawrence Technological University,Industry networking events are valuable.,2024-08-03,348,106,user_59409,positive
Lawrence Technological University,Small classes make learning personal.,2024-03-28,574,107,user_34903,positive
Lawrence Technological University,Administrative delays in registration.,2024-08-18,350,206,user_81201,negative
Lawrence Technological University,Semester calendar released.,2024-07-01,210,113,user_79553,neutral
Lawrence Technological University,Administrative delays in registration.,2024-12-12,102,190,user_13993,negative
Lawrence Technological University,Administrative delays in registration.,2024-04-15,162,189,user_40449,negative
Lawrence Technological University,Capstone projects are very practical.,2024-01-21,230,53,user_98058,positive
Lawrence Technological University,Capstone projects are very practical.,2024-04-23,443,67,user_19724,positive
Lawrence Technological University,Industry networking events are valuable.,2024-05-03,333,117,user_58055,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-01-31,260,149,user_83777,positive
Lawrence Technological University,Professors give strong career guidance.,2024-05-16,373,142,user_88525,positive
Lawrence Technological University,Parking space shortage is frustrating.,2024-12-17,241,193,user_69207,negative
Lawrence Technological University,Industry networking events are valuable.,2024-03-05,376,124,user_12725,positive
Lawrence Technological University,Administrative delays in registration.,2024-01-05,323,267,user_77222,negative
Lawrence Technological University,Tuition cost feels high.,2024-08-03,281,253,user_90624,negative
Lawrence Technological University,Library timing revised.,2024-09-30,265,105,user_58856,neutral
Lawrence Technological University,Career fair next month.,2024-09-27,245,101,user_78451,neutral
Lawrence Technological University,Professors give strong career guidance.,2024-04-10,449,27,user_34272,positive
Lawrence Technological University,Limited campus events this semester.,2024-02-19,395,282,user_45858,negative
Lawrence Technological University,Parking space shortage is frustrating.,2024-06-01,244,129,user_90867,negative
Lawrence Technological University,Tuition cost feels high.,2024-10-01,223,161,user_72299,negative
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-10-09,465,57,user_17324,positive
Lawrence Technological University,Some classrooms need renovation.,2024-08-01,124,159,user_95715,negative
Lawrence Technological University,Small classes make learning personal.,2024-05-09,600,41,user_56867,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-08-30,398,103,user_74194,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-08-16,651,75,user_52522,positive
Lawrence Technological University,Limited campus events this semester.,2024-02-05,229,233,user_40019,negative
Lawrence Technological University,Small classes make learning personal.,2024-02-21,438,148,user_45923,positive
Lawrence Technological University,Tuition cost feels high.,2024-04-25,327,133,user_28943,negative
Lawrence Technological University,Some classrooms need renovation.,2024-07-24,120,207,user_94398,negative
Lawrence Technological University,Course catalog updated.,2024-08-29,272,38,user_19530,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-05-29,375,123,user_81847,positive
Lawrence Technological University,Professors give strong career guidance.,2024-09-05,533,146,user_65925,positive
Lawrence Technological University,Career fair next month.,2024-08-11,324,39,user_61548,neutral
Lawrence Technological University,Small classes make learning personal.,2024-03-05,524,148,user_78061,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-08-22,575,93,user_84366,positive
Lawrence Technological University,Professors give strong career guidance.,2024-02-06,492,86,user_16674,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-07,441,71,user_23136,positive
Lawrence Technological University,Capstone projects are very practical.,2024-01-28,445,138,user_21277,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-03-01,413,132,user_19901,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-06-22,335,21,user_25355,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-05-30,461,43,user_38199,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-21,467,131,user_20765,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-08,315,92,user_28380,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-08-04,410,128,user_67001,positive
Lawrence Technological University,Professors give strong career guidance.,2024-10-31,550,72,user_74644,positive
Lawrence Technological University,Industry networking events are valuable.,2024-07-16,354,105,user_61295,positive
Lawrence Technological University,Some classrooms need renovation.,2024-05-19,212,271,user_76800,negative
Lawrence Technological University,Tuition cost feels high.,2024-02-29,278,98,user_79992,negative
Lawrence Technological University,Professors give strong career guidance.,2024-06-23,605,78,user_54577,positive
Lawrence Technological University,Industry networking events are valuable.,2024-04-25,530,106,user_86628,positive
Lawrence Technological University,Orientation scheduled for Monday.,2024-05-16,395,50,user_96805,neutral
Lawrence Technological University,Small classes make learning personal.,2024-09-26,496,80,user_85999,positive
Lawrence Technological University,Course catalog updated.,2024-04-27,118,143,user_11636,neutral
Lawrence Technological University,Capstone projects are very practical.,2024-10-02,445,103,user_97346,positive
Lawrence Technological University,Semester calendar released.,2024-01-26,248,110,user_42147,neutral
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-07-30,406,90,user_38471,positive
Lawrence Technological University,Capstone projects are very practical.,2024-05-22,530,56,user_43328,positive
Lawrence Technological University,Professors give strong career guidance.,2024-09-04,493,100,user_94604,positive
Lawrence Technological University,Small classes make learning personal.,2024-11-23,570,23,user_94640,positive
Lawrence Technological University,Small classes make learning personal.,2024-10-24,486,136,user_13822,positive
Lawrence Technological University,Some classrooms need renovation.,2024-12-02,360,205,user_42244,negative
Lawrence Technological University,Small classes make learning personal.,2024-05-05,320,46,user_52074,positive
Lawrence Technological University,Hands-on engineering labs are outstanding.,2024-02-01,577,84,user_11814,positive
